,Sr No,date,startup,vertical,subvertical,city,investor,round,amount,stage
0,1,2020-01-09,byju's,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity,1919.4,Private Equity
1,2,2020-01-13,shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,77.240437218,Series C
2,3,2020-01-09,mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,176.18997942,Series B
3,4,2020-01-02,https://www.wealthbucket.in/,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-Series A,28.791,Pre-Series A
4,5,2020-01-02,fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Funding,17.2746,Seed Funding
5,6,2020-01-13,pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,86.373,Series A
6,7,2020-01-10,zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity,1439.55,Private Equity
7,8,2019-12-12,ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,57.582,Series A
8,9,2019-12-06,cardekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,671.79,Series D
9,10,2019-12-03,dhruva space,Aerospace,Satellite Communication,Bengaluru,"Mumbai Angels, Ravikanth Reddy",Seed Funding,479.85,Seed Funding
10,11,2019-12-13,rivigo,Technology,Logistics Services and Solutions,Gurgaon,"SAIF Partners, Spring Canter Investment Ltd.",Series F,191.94,Series F
11,12,2019-12-17,healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,"Paytm, NPTK, Sabre Partners and Neoplux",Series C,115.164,Series C
12,13,2019-12-16,licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,287.91,Series E
13,14,2019-12-16,incred,Finance,Non-Banking Financial Company,Mumbai,Undisclosed,Debt Funding,56.6223,Debt Funding
14,15,2019-12-14,trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Funding,19.194,Seed Funding
15,16,2019-12-11,rein games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Funding,479.85,Seed Funding
16,17,2019-12-20,lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,2216.907,Series G
17,18,2019-11-13,freshworks,Software,Business and customer engagement tools,San Francisco,"Sequoia, CapitalG, Accel",Series H,1439.55,Series H
18,19,2019-11-14,misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,"Sauce.vc, Rainforest Ventures",Series B,4.664142,Series B
19,20,2019-11-13,sunstone eduversity pvt. ltd,Education,Elearning,Gurgaon,"Prime Venture Partners, LetsVenture, PS1 Venture and GlobalLogic co-founder Rajul Garg",Seed Funding,14.3955,Seed Funding
20,21,2019-11-17,burger singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture Round,0.0,Venture Round
21,22,2019-11-18,healthians,Health and Wellness,Healthcare services,Gurgaon,"DG Daiwa Ventures, DG Incubation",Series B,115.164,Series B
