Sr No,date,startup,vertical,subvertical,city,investors,round,amount
1,2020-01-09,Byju's,E-Tech,E-learning,Bengaluru,Tiger Global Management,Private Equity Round,1919.4
2,2020-01-13,Shuttl,Transportation,App based shuttle service,Gurgaon,Susquehanna Growth Equity,Series C,77.240437218
3,2020-01-09,Mamaearth,E-commerce,Retailer of baby and toddler products,Bengaluru,Sequoia Capital India,Series B,176.18997942000001
4,2020-01-02,wealthbucket,FinTech,Online Investment,New Delhi,Vinod Khatumal,Pre-series A,28.791
5,2020-01-02,Fashor,Fashion and Apparel,Embroiled Clothes For Women,Mumbai,Sprout Venture Partners,Seed Round,17.2746
6,2020-01-13,Pando,Logistics,"Open-market, freight management platform",Chennai,Chiratae Ventures,Series A,86.373
7,2020-01-10,Zomato,Hospitality,Online Food Delivery Platform,Gurgaon,Ant Financial,Private Equity Round,1439.55
8,2019-12-12,Ecozen,Technology,Agritech,Pune,Sathguru Catalyzer Advisors,Series A,57.582
9,2019-12-06,CarDekho,E-Commerce,Automobile,Gurgaon,Ping An Global Voyager Fund,Series D,671.79
10,2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,Mumbai Angels,Seed,479.85
10,2019-12-03,Dhruva Space,Aerospace,Satellite Communication,Bengaluru,Ravikanth Reddy,Seed,479.85
11,2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,SAIF Partners,Series F,191.94
11,2019-12-13,Rivigo,Technology,Logistics Services and Solutions,Gurgaon,Spring Canter Investment Ltd.,Series F,191.94
12,2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,Paytm,Series C,115.164
12,2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,NPTK,Series C,115.164
12,2019-12-17,Healthians,B2B-focused foodtech startup,Food Solutions For Corporate,Bengaluru,Sabre Partners and Neoplux,Series C,115.164
13,2019-12-16,Licious,E-Commerce,Online Meat And Seafood Ordering Startup,Bengaluru,Vertex Growth Fund,Series E,287.91
14,2019-12-16,InCred,Finance,Non-Banking Financial Company,Mumbai,Undiscolsed,Debt Funding,56.6223
15,2019-12-14,Trell,Video,Experience Discovery Platform,Bengaluru,Ruizheng Investment,Seed Round,19.194
16,2019-12-11,Rein Games,Gaming,Real money based gaming startup,Noida,Manipal Education and Medical Group (MEMG),Seed Round,479.85
17,2019-12-20,Lenskart.com,E-Commerce,Online Eyewear Shopping Portal,Faridabad,SoftBank Vision Fund,Series G,2216.907
18,2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,Sequoia,Series H,1439.55
18,2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,CapitalG,Series H,1439.55
18,2019-11-13,Freshworks,Software,Business and customer engagement tools,San Francisco,Accel,Series H,1439.55
19,2019-11-14,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,Sauce.vc,Series B,4.664142
19,2019-11-14,Misters,Health and wellness,Men's Health and Wellness brand,Gurgaon,Rainforest Ventures,Series B,4.664142
20,2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,Prime Venture Partners,Seed,14.3955
20,2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,LetsVenture,Seed,14.3955
20,2019-11-13,Sunstone Eduversity Pvt. Ltd,Education,Elearning,Gurgaon,PS1 Venture and GlobalLogic co-founder Rajul Garg,Seed,14.3955
21,2019-11-17,Burger Singh,Food and Beverage,Indian Burger Brand,Gurgaon,RB Investments,Venture,0.0
22,2019-11-18,Healthians,Health and Wellness,Healthcare services,Gurgaon,DG Daiwa Ventures,Series B,115.164
22,2019-11-18,Healthians,Health and Wellness,Healthcare services,Gurgaon,DG Incubation,Series B,115.164
23,2019-11-15,Ninjacart,B2B Marketing,Agritech,Bengaluru,Trifecta Capital Advisors,Debt Funding,249.522
24,2019-11-20,Aye Finance,FinTech,Financial Services To MSMEs,Gurgaon,FinTech,Debt Funding,167.095910205
25,2019-11-12,SuperGaming,Video Games,Social gaming platform,Pune,Dream Incubator,Seed Funding,12.4761
26,2019-11-20,Clumio,SaaS,Recovery software,"San Jose,",Altimeter Capital,Series C,1295.595
26,2019-11-20,Clumio,SaaS,Recovery software,"San Jose,",Sutter Hill Ventures,Series C,1295.595
27,2019-11-11,eBikeGo,Last Mile Transportation,Electric bike rental,Amritsar,Startup Buddy,Seed,2.8791
28,2019-11-19,Digital Mall Asia,E-Commerce,Virtual e-commerce platform,Delhi,Amour Infrastructure,Seed Funding,2111.34
29,2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,Ackermans & van Haaren,Series B,151.6326
29,2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,HealthQuad,Series B,151.6326
29,2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,Rebright Partners,Series B,151.6326
29,2019-11-18,Medikabazaar,Healthcare,B2B platform for medical supplies,Mumbai,Toppan Printing,Series B,151.6326
30,2019-11-15,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,Matrix Partners,Series B,2715.951
30,2019-11-15,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,Stellaris Venture Partners,Series B,2715.951
30,2019-11-15,Vogo Automotive,Last Mile Transportation,Scooter sharing app,Kormangala,Kalaari Capital,Series B,2715.951
31,2019-11-19,Furtados School of Music,Education,Music Education,Tulangan,IAN Fund and DSG Consumer Partners,Undisclosed,1919.4
32,2019-11-25,Paytm,FinTech,Mobile Wallet,Noida,Vijay Shekhar Sharma,Funding Round,9597.0
33,2019-10-04,Dunzo,Customer Service,Delivery Service,Bengaluru,Lightbox,Series D,431.865
34,2019-10-02,Udaan,B2B,Business development,Bengaluru,Altimeter Capital,Series D,5614.245
34,2019-10-02,Udaan,B2B,Business development,Bengaluru,DST Global,Series D,5614.245
35,2019-10-21,The Man Company,Consumer Goods,Beauty and Grooming,Gurgaon,Ayushmann Khurana,Corporate Round,0.0
36,2019-09-05,FPL Technologies,FinTech,Financial Services,Pune,Matrix Partners India,Maiden Round,43.1865
36,2019-09-05,FPL Technologies,FinTech,Financial Services,Pune,Sequoia India,Maiden Round,43.1865
37,2019-09-04,Cashflo,FinTech,Invoice discounting platform and SME lending marketplace,Mumbai,SAIF Partners,Series A,31.6701
38,2019-09-04,Digital F5,"Advertising, Marketing",Digital marketing firm,Mumbai,TIW Private Equity,Private Equity Round,57.582
39,2019-09-04,3rdFlix,SaaS,Education Technology,Hyderabad,Exfinity Venture Partners,pre-series A,47.985
40,2019-09-04,75F,IoT,Building automation system,Burnsville,Breakthrough Energy Ventures,Series A,172.746
41,2019-09-04,Myelin Foundry,Information Technology,Deep-technology,Bengaluru,Endiya Partners,Seed,9.597
42,2019-09-04,Atomberg Technology,Consumer Technology,"Consumer Electronics, Home Appliances",Mumbai,A91 Partners,Series A,95.97
43,2019-09-04,GOQii,Health and Wellness,Wearable Fitness Bands,Menlo Park,Bennett Coleman and Company Ltd (BCCL),Series C,4318.65
44,2019-09-03,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,India Quotient,Series A,47.985
44,2019-09-03,Vyapar App,Accounting,Mobile-based Accounting Software,Bengaluru,Axilor Ventures,Series A,47.985
45,2019-08-01,CarDekho,E-Commerce,Automotive,Gurgaon,SC GG India Mobility Holdings LLC,Series C,191.94
46,2019-08-01,Progcap,Finance,Supply Chain Management,New Delhi,Sequoia India,Series A,47.985
47,2019-08-01,MyPetrolPump,Retail,Fuel Delivery,Bengaluru,Undiscolsed,Seed Funding Round,15.3552
48,2019-08-01,Alteria Capital,Finance,VC Funds,Mumbai,Azim Premji,Single Venture,1343.58
48,2019-08-01,Alteria Capital,Finance,VC Funds,Mumbai,Binny Bansal,Single Venture,1343.58
49,2019-08-01,Pine Labs,Information Technology,Last-mile retail transaction technology,Noida,Pine Labs Pte Ltd,Corporate Round,365.45376
50,2019-08-12,Meesho,E-Commerce,Social Commerce,Bengaluru,Naspers,Series D,1199.625
51,2019-08-13,Cars24,E-Commerce,Car Retail,Gurugram,MS Dhoni,Series D,105.567
52,2019-08-13,Uniphore,Customer Service Platform,Conversational AI,Palo Alto,March Capital Partners,Series C,489.447
